TNMD	SPAG4
TNMD	BCL2L13
TNMD	BNIP3L
TNMD	CD33
TNMD	HHLA2
TNMD	FAM209A
TNMD	C12orf10
TNMD	FCGR1A
TNMD	CREB3L1
TNMD	TMEM79
TNMD	GGT6
TNMD	ARL13B
TNMD	BNIP3
TNMD	AMIGO1
TNMD	TMEM106A
TNMD	KIR3DL3
DPM1	MEOX2
DPM1	TDO2
SCYL3	GABARAPL2
SCYL3	TXN2
SCYL3	GABARAPL1
SCYL3	LHX8
SCYL3	TCAF1
C1orf112	P4HA3
FUCA2	WNT11
FUCA2	TNPO2
FUCA2	HOXA1
FUCA2	MEOX2
FUCA2	NUFIP2
FUCA2	PIN1
FUCA2	GUCD1
FUCA2	LCE1E
FUCA2	LCE1A
FUCA2	LCE4A
FUCA2	VWC2
FUCA2	KRTAP5-3
FUCA2	LCE1B
FUCA2	KRTAP5-2
FUCA2	KRTAP4-12
FUCA2	KRTAP10-1
NFYA	APPBP2
NFYA	NFYC
NFYA	CSNK2A1
NFYA	NFYB
NFYA	ATXN1
NFYA	ZC3H10
NFYA	VEZF1
NFYA	POU2F1
NFYA	POGZ
NFYA	LUC7L2
NFYA	DVL3
NFYA	GTF2A1
NFYA	BANP
NFYA	QRICH1
NFYA	UBL5
NFYA	TCAF1
NIPAL3	MANBAL
NIPAL3	CD79A
NIPAL3	TMEM14B
NIPAL3	EDA
NIPAL3	VMA21
NIPAL3	GPX8
NIPAL3	MFF
NIPAL3	ATP6V0C
NIPAL3	GJA5
ENPP4	TMEM147
ENPP4	TMBIM6
KRIT1	UBE2K
RAD52	RAD52
RAD52	MEOX1
RAD52	NFYC
RAD52	KPNA3
RAD52	MEOX2
RAD52	PLK3
RAD52	PAX5
RAD52	KPNA5
RAD52	DCP1A
RAD52	RDM1
BAD	ACTN2
BAD	KRT31
BAD	BCL2L2
BAD	BCL2L1
BAD	SFN
BAD	EWSR1
LAP3	ZNF76
LAP3	MAPRE3
LAP3	CBX5
LAP3	PIK3R3
LAP3	CBX3
LAP3	PIH1D2
LAP3	USF1
LAP3	ZYX
LAP3	BANP
CD99	UBQLN1
AOC1	ZC3H10
AOC1	POGZ
AOC1	TIAL1
AOC1	WDYHV1
AOC1	FOXH1
AOC1	CYB561A3
AOC1	TLX3
AOC1	RBPMS2
AOC1	DAZAP2
AOC1	KRTAP8-1
HECW1	VAX1
MAD1L1	MAD1L1
MAD1L1	ALOX5
MAD1L1	LMO3
MAD1L1	ATG5
MAD1L1	GPKOW
MAD1L1	LNX1
MAD1L1	NEBL
MAD1L1	PIBF1
MAD1L1	KIF9
MAD1L1	NINL
MAD1L1	SYT17
MAD1L1	CCDC94
MAD1L1	CDC37
MAD1L1	LENG1
MAD1L1	RNF8
MAD1L1	AMOTL2
MAD1L1	CDK18
MAD1L1	LGALSL
MAD1L1	TEX11
MAD1L1	TSHZ3
MAD1L1	PSMA1
MAD1L1	CAPN7
MAD1L1	SYT6
MAD1L1	USP15
MAD1L1	TSGA10
MAD1L1	TRIM29
MAD1L1	TUBGCP4
MAD1L1	MFAP1
MAD1L1	TPM1
MAD1L1	ZSCAN32
MAD1L1	GAS8
MAD1L1	TPM3
MAD1L1	PPP1R18
MAD1L1	NONO
MAD1L1	HAUS1
MAD1L1	CWF19L2
MAD1L1	WDYHV1
MAD1L1	TSC22D3
MAD1L1	SPATA2
MAD1L1	SPATA18
MAD1L1	MAD2L1
MAD1L1	BAG5
MAD1L1	LMO1
MAD1L1	FAM90A1
MAD1L1	CCDC57
MAD1L1	TEX33
MAD1L1	FAM131C
MAD1L1	TCAF1
MAD1L1	CCHCR1
LASP1	FAM168A
LASP1	POLD1
LASP1	DMRT3
LASP1	POU1F1
LASP1	ANKS1A
LASP1	PITX1
LASP1	CAMK2A
LASP1	TRIP13
LASP1	RBFOX1
LASP1	CHERP
LASP1	DTX2
LASP1	SEPT3
LASP1	PSMA3
LASP1	NUTF2
LASP1	VAC14
LASP1	ZC2HC1A
LASP1	MED25
LASP1	HOXA1
LASP1	LZTS2
LASP1	CRYBA1
LASP1	TNS2
LASP1	MDFI
LASP1	TFG
LASP1	OTX1
LASP1	ATXN1
LASP1	GCM2
LASP1	TEKT3
LASP1	INTS11
LASP1	FXR2
LASP1	ARHGEF16
LASP1	RHOXF2
LASP1	THAP1
LASP1	BHLHE40
LASP1	ZC3H10
LASP1	SPRY2
LASP1	VEZF1
LASP1	RNF38
LASP1	SPAG8
LASP1	GUCD1
LASP1	BAHD1
LASP1	GAS8
LASP1	LMO4
LASP1	YTHDF1
LASP1	FAM168B
LASP1	BOLL
LASP1	TEKT5
LASP1	BAG4
LASP1	RBPMS
LASP1	FOXH1
LASP1	PRR35
LASP1	PPP1R32
LASP1	OXER1
LASP1	REL
LASP1	TEKT4
LASP1	CRYBA2
LASP1	TLX3
LASP1	RBPMS2
LASP1	GOLGA2
LASP1	CERCAM
LASP1	LENG8
LASP1	MGAT5B
LASP1	VPS37C
LASP1	HNRNPF
LASP1	EVX2
LASP1	CATSPER1
LASP1	YES1
LASP1	UFSP1
LASP1	CSTF2T
LASP1	MKRN3
LASP1	C14orf119
LASP1	CTNNA3
LASP1	DAZAP2
LASP1	FHL3
LASP1	HGS
LASP1	WWOX
LASP1	KRTAP19-6
LASP1	KRTAP6-2
LASP1	KRTAP19-4
LASP1	KRTAP10-8
LASP1	UBQLN2
LASP1	PLSCR1
LASP1	C19orf54
LASP1	NOXA1
LASP1	TCF4
LASP1	ARID5A
LASP1	CYSRT1
LASP1	KRTAP26-1
LASP1	QRICH1
LASP1	ARHGEF15
LASP1	TRIM27
LASP1	PRR20B
LASP1	PRR20A
LASP1	DOK6
LASP1	VGLL3
LASP1	KRTAP3-3
LASP1	KRTAP3-2
LASP1	KRTAP12-4
LASP1	ZBTB9
LASP1	PRR20D
LASP1	PRR20C
LASP1	PRR20E
LASP1	KRTAP19-3
LASP1	KRTAP4-2
LASP1	FBXO17
SNX11	ZMYND10
SNX11	RABAC1
SNX11	REEP6
SNX11	SMYD1
SNX11	NECAB1
SNX11	SMYD2
SNX11	MAJIN
SNX11	ARL6IP1
SNX11	YIF1A
SNX11	RPRM
TMEM176A	CERS4
TMEM176A	CD79A
TMEM176A	TMEM176B
TMEM176A	TIMMDC1
TMEM176A	MTIF3
TMEM176A	GOLM1
TMEM176A	RETREG3
TMEM176A	SCD5
TMEM176A	MFSD14B
TMEM176A	KCNK5
TMEM176A	SGPL1
TMEM176A	TMX2
M6PR	DUSP12
M6PR	KTN1
M6PR	SMCO4
M6PR	NINJ2
M6PR	GIMAP5
ICA1	CCDC28A
ICA1	MBD3
ICA1	RAB2A
ICA1	RAB2B
ICA1	ING5
CASP10	XIAP
CFLAR	TRAF1
RBM5	MEOX1
RBM5	MLYCD
RBM5	MEOX2
MTMR7	MTMR9
MTMR7	CCNH
ARF5	ACY3
ARF5	DTX3
POLDIP2	ALAS1
POLDIP2	PIH1D3
POLDIP2	CHCHD2
POLDIP2	MTUS2
POLDIP2	AGTRAP
PLXND1	HOXB5
FKBP4	GLMN
KDM1A	HOMER3
KDM1A	LZTS1
KDM1A	TRAF4
KDM1A	KRT31
KDM1A	CARD10
KDM1A	TFIP11
KDM1A	CEP76
KDM1A	NECAB2
KDM1A	TTC23
KDM1A	KLC3
KDM1A	AES
KDM1A	PBX4
KDM1A	BIRC2
KDM1A	NFE2L2
KDM1A	RCOR3
KDM1A	TNNT2
KDM1A	WASHC3
KDM1A	COIL
KDM1A	PFDN5
KDM1A	NMI
KDM1A	KRT33B
KDM1A	MYC
KDM1A	TRIM54
KDM1A	VPS37B
KDM1A	CCDC33
KDM1A	KIFC3
KDM1A	GAS8
KDM1A	RPRD1A
KDM1A	TP53BP2
KDM1A	NRBF2
KDM1A	TEX9
KDM1A	RASSF3
KDM1A	UBASH3B
KDM1A	GOLGA6A
KDM1A	ANKRD23
KDM1A	SPICE1
KDM1A	CAGE1
KDM1A	FAM204A
KDM1A	PSMC3
KDM1A	CEP57
KDM1A	ZBTB39
KDM1A	GOLGA2
KDM1A	TMEM266
KDM1A	FAM161A
KDM1A	KRT15
KDM1A	KRT38
KDM1A	CCDC14
KDM1A	GCC1
KDM1A	EXOC7
KDM1A	KRT39
KDM1A	KRT35
KDM1A	TRIM39
KDM1A	KRT40
KDM1A	ZBED1
KDM1A	JRK
KDM1A	NBPF26
RBM6	MAPRE2
RBM6	EEF1G
ARHGAP33	CYSRT1
NDUFAB1	LNX1
NDUFAB1	FNDC3B
NDUFAB1	VAC14
NDUFAB1	OIP5
NDUFAB1	KCTD9
NDUFAB1	BBC3
NDUFAB1	EIF3B
NDUFAB1	NRF1
NDUFAB1	SLIRP
NDUFAB1	ZNF410
NDUFAB1	TOX2
NDUFAB1	THAP1
NDUFAB1	LMO2
NDUFAB1	MORN3
NDUFAB1	FEM1A
NDUFAB1	WDYHV1
NDUFAB1	ZNF19
NDUFAB1	CCDC24
NDUFAB1	PPP1R16A
NDUFAB1	TLX3
NDUFAB1	PSMC3
NDUFAB1	POP5
NDUFAB1	HINFP
NDUFAB1	FHL3
NDUFAB1	BEX5
NDUFAB1	ZNF829
NDUFAB1	NOXA1
NDUFAB1	MBLAC1
NDUFAB1	CNTF
NDUFAB1	ACTN3
PDK4	PLEKHF2
ZMYND10	TBX5
ZMYND10	IFT43
ZMYND10	NUTM2F
ZMYND10	MTUS2
ZMYND10	EIF3M
ZMYND10	TSC22D4
ZMYND10	CDR1
ZMYND10	NUTM1
ZMYND10	RBM11
ZMYND10	TCF4
ZMYND10	CYSRT1
ZMYND10	WBP1
CDC27	COMT
SLC4A1	CFHR5
SLC4A1	TMEM60
SLC4A1	ADAM33
SLC4A1	BMP10
HCCS	SNX1
HCCS	CIDEB
HCCS	SENP2
DVL2	DVL2
DVL2	ZNF263
DVL2	WAS
DVL2	U2AF2
DVL2	AP1M1
DVL2	UIMC1
DVL2	POLI
DVL2	MAGOHB
DVL2	USP5
DVL2	EIF1B
DVL2	PRPF3
DVL2	ARR3
DVL2	SORBS3
DVL2	ENKD1
DVL2	TRAF2
DVL2	UBAC1
DVL2	RHOXF2
DVL2	THAP1
DVL2	PRKAA1
DVL2	ARHGEF39
DVL2	BAHD1
DVL2	CCDC33
DVL2	TIFA
DVL2	CPSF7
DVL2	BAG3
DVL2	OTULIN
DVL2	RBPMS
DVL2	SNF8
DVL2	ZBTB8A
DVL2	RUSC1
DVL2	AP2M1
DVL2	DPPA2
DVL2	SNIP1
DVL2	PCBD1
DVL2	DDI1
DVL2	YES1
